KEGGID	ENTREZID	DESCRPTION
451	hsa00140	7363	Steroid hormone biosynthesis
452	hsa00140	7364	Steroid hormone biosynthesis
453	hsa00140	7365	Steroid hormone biosynthesis
454	hsa00140	7366	Steroid hormone biosynthesis
455	hsa00140	7367	Steroid hormone biosynthesis
456	hsa00140	79154	Steroid hormone biosynthesis
457	hsa00140	7923	Steroid hormone biosynthesis
458	hsa00140	79644	Steroid hormone biosynthesis
459	hsa00140	79799	Steroid hormone biosynthesis
460	hsa00140	8630	Steroid hormone biosynthesis
461	hsa00140	8644	Steroid hormone biosynthesis
462	hsa00140	9420	Steroid hormone biosynthesis
463	hsa00190	100532726	Oxidative phosphorylation
464	hsa00190	10063	Oxidative phosphorylation
465	hsa00190	10312	Oxidative phosphorylation
466	hsa00190	10476	Oxidative phosphorylation
467	hsa00190	10632	Oxidative phosphorylation
468	hsa00190	10975	Oxidative phosphorylation
469	hsa00190	125965	Oxidative phosphorylation
470	hsa00190	126328	Oxidative phosphorylation
471	hsa00190	127124	Oxidative phosphorylation
472	hsa00190	1327	Oxidative phosphorylation
473	hsa00190	1329	Oxidative phosphorylation
474	hsa00190	1337	Oxidative phosphorylation
475	hsa00190	1339	Oxidative phosphorylation
476	hsa00190	1340	Oxidative phosphorylation
477	hsa00190	1345	Oxidative phosphorylation
478	hsa00190	1346	Oxidative phosphorylation
479	hsa00190	1347	Oxidative phosphorylation
480	hsa00190	1349	Oxidative phosphorylation
481	hsa00190	1350	Oxidative phosphorylation
482	hsa00190	1351	Oxidative phosphorylation
483	hsa00190	1352	Oxidative phosphorylation
484	hsa00190	1353	Oxidative phosphorylation
485	hsa00190	1355	Oxidative phosphorylation
486	hsa00190	1537	Oxidative phosphorylation
487	hsa00190	155066	Oxidative phosphorylation
488	hsa00190	170712	Oxidative phosphorylation
489	hsa00190	23545	Oxidative phosphorylation
490	hsa00190	245972	Oxidative phosphorylation
491	hsa00190	245973	Oxidative phosphorylation
492	hsa00190	27068	Oxidative phosphorylation
493	hsa00190	27089	Oxidative phosphorylation
494	hsa00190	29796	Oxidative phosphorylation
495	hsa00190	341947	Oxidative phosphorylation
496	hsa00190	374291	Oxidative phosphorylation
497	hsa00190	440567	Oxidative phosphorylation
498	hsa00190	4508	Oxidative phosphorylation
499	hsa00190	4509	Oxidative phosphorylation
500	hsa00190	4512	Oxidative phosphorylation
501	hsa00190	4513	Oxidative phosphorylation
502	hsa00190	4514	Oxidative phosphorylation
503	hsa00190	4519	Oxidative phosphorylation
504	hsa00190	4535	Oxidative phosphorylation
505	hsa00190	4536	Oxidative phosphorylation
506	hsa00190	4537	Oxidative phosphorylation
507	hsa00190	4538	Oxidative phosphorylation
508	hsa00190	4539	Oxidative phosphorylation
509	hsa00190	4540	Oxidative phosphorylation
510	hsa00190	4541	Oxidative phosphorylation
511	hsa00190	4694	Oxidative phosphorylation
512	hsa00190	4695	Oxidative phosphorylation
513	hsa00190	4696	Oxidative phosphorylation
514	hsa00190	4697	Oxidative phosphorylation
515	hsa00190	4698	Oxidative phosphorylation
516	hsa00190	4700	Oxidative phosphorylation
517	hsa00190	4701	Oxidative phosphorylation
518	hsa00190	4702	Oxidative phosphorylation
519	hsa00190	4704	Oxidative phosphorylation
520	hsa00190	4705	Oxidative phosphorylation
521	hsa00190	4706	Oxidative phosphorylation
522	hsa00190	4707	Oxidative phosphorylation
523	hsa00190	4708	Oxidative phosphorylation
524	hsa00190	4709	Oxidative phosphorylation
525	hsa00190	4710	Oxidative phosphorylation
526	hsa00190	4711	Oxidative phosphorylation
527	hsa00190	4712	Oxidative phosphorylation
528	hsa00190	4713	Oxidative phosphorylation
529	hsa00190	4714	Oxidative phosphorylation
530	hsa00190	4715	Oxidative phosphorylation
531	hsa00190	4716	Oxidative phosphorylation
532	hsa00190	4717	Oxidative phosphorylation
533	hsa00190	4718	Oxidative phosphorylation
534	hsa00190	4719	Oxidative phosphorylation
535	hsa00190	4720	Oxidative phosphorylation
536	hsa00190	4722	Oxidative phosphorylation
537	hsa00190	4723	Oxidative phosphorylation
538	hsa00190	4724	Oxidative phosphorylation
539	hsa00190	4725	Oxidative phosphorylation
540	hsa00190	4726	Oxidative phosphorylation
541	hsa00190	4728	Oxidative phosphorylation
542	hsa00190	4729	Oxidative phosphorylation
543	hsa00190	4731	Oxidative phosphorylation
544	hsa00190	479	Oxidative phosphorylation
545	hsa00190	495	Oxidative phosphorylation
546	hsa00190	496	Oxidative phosphorylation
547	hsa00190	498	Oxidative phosphorylation
548	hsa00190	506	Oxidative phosphorylation
549	hsa00190	50617	Oxidative phosphorylation
550	hsa00190	509	Oxidative phosphorylation
551	hsa00190	51079	Oxidative phosphorylation
552	hsa00190	513	Oxidative phosphorylation
553	hsa00190	51382	Oxidative phosphorylation
554	hsa00190	514	Oxidative phosphorylation
555	hsa00190	515	Oxidative phosphorylation
556	hsa00190	516	Oxidative phosphorylation
557	hsa00190	51606	Oxidative phosphorylation
558	hsa00190	517	Oxidative phosphorylation
559	hsa00190	518	Oxidative phosphorylation
560	hsa00190	521	Oxidative phosphorylation
561	hsa00190	522	Oxidative phosphorylation
562	hsa00190	523	Oxidative phosphorylation
563	hsa00190	525	Oxidative phosphorylation
564	hsa00190	526	Oxidative phosphorylation
565	hsa00190	527	Oxidative phosphorylation
566	hsa00190	528	Oxidative phosphorylation
567	hsa00190	529	Oxidative phosphorylation
568	hsa00190	533	Oxidative phosphorylation
569	hsa00190	534	Oxidative phosphorylation
570	hsa00190	535	Oxidative phosphorylation
571	hsa00190	537	Oxidative phosphorylation
572	hsa00190	539	Oxidative phosphorylation
